movie_id,title,ranking,release_year,length,rating,vote_count,certificate,description
tt0043014,Sunset Boulevard,63,1950,1:50:00,8.4,243452,Approved,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
tt4633694,Spider-Man: Into the Spider-Verse,64,2018,1:57:00,8.4,704066,PG,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.
tt0050825,Paths of Glory,65,1957,1:28:00,8.4,220610,Approved,A colonel defends three of his soldiers in a court-martial after they abandon a suicidal attack.
tt0051201,Witness for the Prosecution,66,1957,1:56:00,8.4,143916,Approved,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
tt0081505,The Shining,67,1980,2:26:00,8.4,1141929,R,"A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future."
tt0032553,The Great Dictator,68,1940,2:05:00,8.4,243770,G,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
tt0090605,Aliens,69,1986,2:17:00,8.4,793531,R,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
tt0361748,Inglourious Basterds,70,2009,2:33:00,8.4,1634808,R,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
tt1345836,The Dark Knight Rises,71,2012,2:44:00,8.4,1875995,PG-13,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again."
tt2380307,Coco,72,2017,1:45:00,8.4,624643,PG,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
tt0086879,Amadeus,73,1984,2:40:00,8.4,439514,PG,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him."
tt0114709,Toy Story,74,1995,1:21:00,8.3,1098523,G,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,75,1964,1:35:00,8.3,530167,PG,"An unhinged American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
tt0364569,Oldboy,76,2003,2:00:00,8.3,658566,R,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days."
tt0169547,American Beauty,77,1999,2:02:00,8.3,1231778,R,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
tt4154796,Avengers: Endgame,78,2019,3:01:00,8.4,1315035,PG-13,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
tt0119217,Good Will Hunting,79,1997,2:06:00,8.3,1105935,R,"Will Hunting, a janitor at MIT, has a gift for mathematics, but needs help from a psychologist to find direction in his life."
tt0082096,Das Boot,80,1981,2:29:00,8.4,271119,No rating,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.
tt0112573,Braveheart,81,1995,2:58:00,8.3,1112274,R,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
